from,to
http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78431
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C165635
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C177903
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C176227
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C117745
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C117744
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C172331
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C66788
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C103329
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C170448
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C170450
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C170449
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C170452
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C172332
http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml/C170451
http://id.d4k.dk/dataset/cdisc/ct/v48/glossary,http://id.d4k.dk/dataset/cdisc/ct/v48/glossary/C67497
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C179587
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C142191
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C139020
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C170440
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C170441
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C184334
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C177906
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C177907
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C177905
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C99076
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C99078
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C66742
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C127259
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C165641
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C170442
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C165642
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C147068
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C132308
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C181167
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C154681
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C132310
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C181168
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C147069
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C184333
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C172329
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C174222
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C154682
