"id:ID","uri","data_type"
"97","http://id.d4k.dk/dataset/canonical/n8/coding","coding"
"98","http://id.d4k.dk/dataset/canonical/n9/coding","coding"
"99","http://id.d4k.dk/dataset/canonical/n18/coding","coding"
