label,from,to
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81223
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81224
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C172334
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C172335
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C158114
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C158115
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81225
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C165644
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C124296
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/cdisc/ct/v48/adam/C81226
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78418
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78417
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78419
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78420
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78422
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C128690
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78426
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78745
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78425
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C181165
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C128689
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C177909
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C181164
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C181163
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C83004
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78428
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78427
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78421
SKOS_HAS_TOP_CONCEPT,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash/C78429
