from,to
http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_user_selected
http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_display
http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_version
http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_code
http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding_system
http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_value
http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_comparator
http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_unit
http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_system
http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity_code
