"id:ID","name","value","uri"
"51121","value","","http://id.d4k.dk/dataset/bc_instance/weight/result/quantity/value"
"51122","unit","","http://id.d4k.dk/dataset/bc_instance/weight/result/quantity/unit"
"51123","system","","http://id.d4k.dk/dataset/bc_instance/weight/result/quantity/system"
"51124","code","","http://id.d4k.dk/dataset/bc_instance/weight/result/quantity/code"
