"id:ID","name","uri"
"51091","coding","http://id.d4k.dk/dataset/bc_template/base_observation/test/coding"
"51092","coding","http://id.d4k.dk/dataset/bc_template/base_observation/position/coding"
"51093","coding","http://id.d4k.dk/dataset/bc_template/base_observation/site_of_administration/coding"
"51094","coding","http://id.d4k.dk/dataset/bc_template/base_observation/laterality/coding"
"51095","coding","http://id.d4k.dk/dataset/bc_template/base_observation/method/coding"
"51096","DATETIME","http://id.d4k.dk/dataset/bc_template/base_observation/date_time/datetime"
"51097","quantity","http://id.d4k.dk/dataset/bc_template/base_observation/result/quantity"
"51098","coding","http://id.d4k.dk/dataset/bc_template/base_observation/result/coding"
"51099","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/test/coding"
"51100","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/position/coding"
"51101","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/site_of_administration/coding"
"51102","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/laterality/coding"
"51103","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/directionality/coding"
"51104","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/method/coding"
"51105","DATETIME","http://id.d4k.dk/dataset/bc_template/base_laboratory/date_time/datetime"
"51106","quantity","http://id.d4k.dk/dataset/bc_template/base_laboratory/result/quantity"
"51107","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/result/coding"
"51108","coding","http://id.d4k.dk/dataset/bc_template/base_laboratory/specimen/coding"
