from,to
http://id.d4k.dk/dataset/hl7/fhir/datatypes,http://id.d4k.dk/dataset/hl7/fhir/datatypes#coding
http://id.d4k.dk/dataset/hl7/fhir/datatypes,http://id.d4k.dk/dataset/hl7/fhir/datatypes#quantity
