label,from,to
FROM_SOURCE,http://id.d4k.dk/dataset/hl7/fhir/datatypes,http://id.d4k.dk/dataset/source/fhir
label,from,to
FROM_SOURCE,http://id.d4k.dk/dataset/cdisc/ct/v48/adam,http://id.d4k.dk/dataset/source/cdisc/ct/adam
FROM_SOURCE,http://id.d4k.dk/dataset/cdisc/ct/v48/cdash,http://id.d4k.dk/dataset/source/cdisc/ct/cdash
FROM_SOURCE,http://id.d4k.dk/dataset/cdisc/ct/v48/define-xml,http://id.d4k.dk/dataset/source/cdisc/ct/define-xml
FROM_SOURCE,http://id.d4k.dk/dataset/cdisc/ct/v48/glossary,http://id.d4k.dk/dataset/source/cdisc/ct/glossary
FROM_SOURCE,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/source/cdisc/ct/protocol
FROM_SOURCE,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/source/cdisc/ct/sdtm
FROM_SOURCE,http://id.d4k.dk/dataset/cdisc/ct/v48/send,http://id.d4k.dk/dataset/source/cdisc/ct/send
label,from,to
FROM_SOURCE,http://id.d4k.dk/dataset/hl7/fhir/datatypes,http://id.d4k.dk/dataset/source/fhir
