:START_ID,:END_ID
17,20
17,21
17,26
19,17
19,18
19,15
19,22
19,27
19,28
19,25
19,36
19,40
29,30
18,31
18,32
32,24
18,34
34,35
34,37
28,38
28,39
42,17
42,41
41,43
42,45
45,46
45,47
45,48
49,50
49,51
42,52
42,53
42,49
42,54
42,55
55,56
55,57
55,58
59,60
42,61
42,62
42,63
42,64
42,65
42,66
42,67
42,68
45,69
45,70
71,72
72,75
75,74
72,73
73,76
73,77
71,92
71,17
71,29
71,59
71,79
71,78
71,80
80,81
80,82
80,83
80,84
71,85
85,86
85,87
85,88
19,33
45,89
42,59
42,16
42,23
42,44
19,16
19,29
19,44
19,23
90,92
90,91
91,94
94,93
90,29
