"id:ID","uri"
"51231","http://id.d4k.dk/dataset/study/1/WF001"
"51232","http://id.d4k.dk/dataset/study/1/WF002"
"51233","http://id.d4k.dk/dataset/study/1/WF003"
"51234","http://id.d4k.dk/dataset/study/1/WF004"
"51235","http://id.d4k.dk/dataset/study/1/WF005"
"51236","http://id.d4k.dk/dataset/study/1/WF006"
"51237","http://id.d4k.dk/dataset/study/1/WF007"
"51238","http://id.d4k.dk/dataset/study/1/WF008"
"51239","http://id.d4k.dk/dataset/study/1/WF009"
"51240","http://id.d4k.dk/dataset/study/1/WF010"
"51241","http://id.d4k.dk/dataset/study/1/WF011"
"51242","http://id.d4k.dk/dataset/study/1/WF012"
"51243","http://id.d4k.dk/dataset/study/1/WF013"
"51244","http://id.d4k.dk/dataset/study/1/WF014"
"51245","http://id.d4k.dk/dataset/study/1/WF015"
"51246","http://id.d4k.dk/dataset/study/1/WF016"
"51247","http://id.d4k.dk/dataset/study/1/WF017"
"51248","http://id.d4k.dk/dataset/study/1/WF018"
"51249","http://id.d4k.dk/dataset/study/1/WF019"
"51250","http://id.d4k.dk/dataset/study/1/WF020"
"51251","http://id.d4k.dk/dataset/study/1/WF021"
"51252","http://id.d4k.dk/dataset/study/1/WF022"
"51253","http://id.d4k.dk/dataset/study/1/WF023"
"51254","http://id.d4k.dk/dataset/study/1/WF024"
"51255","http://id.d4k.dk/dataset/study/1/WF025"
"51256","http://id.d4k.dk/dataset/study/1/WF026"
"51257","http://id.d4k.dk/dataset/study/1/WF027"
"51258","http://id.d4k.dk/dataset/study/1/WF028"
"51259","http://id.d4k.dk/dataset/study/1/WF029"
"51260","http://id.d4k.dk/dataset/study/1/WF030"
"51261","http://id.d4k.dk/dataset/study/1/WF031"
"51262","http://id.d4k.dk/dataset/study/1/WF032"
"51263","http://id.d4k.dk/dataset/study/1/WF033"
"51264","http://id.d4k.dk/dataset/study/1/WF034"
"51265","http://id.d4k.dk/dataset/study/1/WF035"
"51266","http://id.d4k.dk/dataset/study/1/WF036"
"51267","http://id.d4k.dk/dataset/study/1/WF037"
"51268","http://id.d4k.dk/dataset/study/1/WF038"
"51269","http://id.d4k.dk/dataset/study/1/WF039"
"51270","http://id.d4k.dk/dataset/study/1/WF040"
"51271","http://id.d4k.dk/dataset/study/1/WF041"
"51272","http://id.d4k.dk/dataset/study/1/WF042"
"51273","http://id.d4k.dk/dataset/study/1/WF043"
"51274","http://id.d4k.dk/dataset/study/1/WF044"
"51275","http://id.d4k.dk/dataset/study/1/WF045"
"51276","http://id.d4k.dk/dataset/study/1/WF046"
"51277","http://id.d4k.dk/dataset/study/1/WF047"
"51278","http://id.d4k.dk/dataset/study/1/WF048"
"51279","http://id.d4k.dk/dataset/study/1/WF049"
"51280","http://id.d4k.dk/dataset/study/1/WF050"
"51281","http://id.d4k.dk/dataset/study/1/WF051"
"51282","http://id.d4k.dk/dataset/study/1/WF052"
"51283","http://id.d4k.dk/dataset/study/1/WF053"
"51284","http://id.d4k.dk/dataset/study/1/WF054"
"51285","http://id.d4k.dk/dataset/study/1/WF055"
"51286","http://id.d4k.dk/dataset/study/1/WF056"
