"id","alt_label","definition","identifier","notation","pref_label","uri"
"3814","","A person of Mexican, Puerto Rican, Cuban, Central or South American or other Spanish culture or origin, regardless of race. (NCI)","C17459","HISPANIC OR LATINO","Hispanic or Latino","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66790-C17459"
"3815","","A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. An arbitrary ethnic classification. (NCI)","C41222","NOT HISPANIC OR LATINO","Not Hispanic or Latino","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66790-C41222"
"3816","Not reported","Not provided or available.","C43234","NOT REPORTED","Not Reported","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66790-C43234"
"3817","U;UNK;Unknown","Not known, not observed, not recorded, or refused. (NCI)","C17998","UNKNOWN","Unknown","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66790-C17998"
