"id","alt_label","definition","identifier","notation","pref_label","uri"
"3735","","A unit of measurement of time equal to 24 hours.","C25301","DAYS","Day","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66781-C25301"
"3736","h;Hours;hr","A unit of measurement of time equal to 60 minutes.","C25529","HOURS","Hour","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66781-C25529"
"3737","Month","One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks. (NCI)","C29846","MONTHS","Month","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66781-C29846"
"3738","Week","Any period of seven consecutive days. (NCI)","C29844","WEEKS","Week","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66781-C29844"
"3739","Year","The period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period. (NCI)","C29848","YEARS","Year","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C66781-C29848"
